Gate Name,t_pulse_1 (ns),t_pulse_2 (ns),t_pulse_3 (ns),t_pulse_4 (ns),Total Gate Time (ns)
I,0.0,0.0,0.0,0.0,0.0
X,0.0,1.52,0.98,1.52,4.02
Y,2.5,1.52,0.98,1.52,6.52
Z,2.5,0.0,0.0,0.0,2.5
S,3.75,0.0,0.0,0.0,3.75
S†,1.25,0.0,0.0,0.0,1.25
SX,0.0,1.038,1.831,2.8,5.669
S†X,0.0,2.8,1.831,1.038,5.669
H,0.76,3.48,0.76,0.0,5.0
XH,1.74,1.52,4.24,0.0,7.5
YH,1.74,1.52,1.74,0.0,5.0
ZH,4.24,1.52,1.74,0.0,7.5
SH,0.76,3.48,4.51,0.0,8.75
HS,4.51,3.48,0.76,0.0,8.75
S†H,4.24,1.52,0.49,0.0,6.25
HS†,0.49,1.52,4.24,0.0,6.25
HSH,0.49,1.52,0.49,0.0,2.5
HS†H,2.99,1.52,2.99,0.0,7.5
S†HS,2.99,1.52,0.49,0.0,5.0
SHS†,0.49,1.52,2.99,0.0,5.0
HSX,0.49,1.52,1.74,0.0,3.75
S†XH,1.74,1.52,0.49,0.0,3.75
HS†X,4.51,3.48,3.26,0.0,11.25
SXH,3.26,3.48,4.51,0.0,11.25
