delay_tt_mc X,
5.43402051320237e-09,5
5.43608018063251e-09,2
5.47140057023529e-09,4
5.49077837656255e-09,6
5.49376652893293e-09,1
5.49814122996061e-09,3
5.50535733492106e-09,7
5.53018309196122e-09,4
5.53331860890126e-09,8
5.53611033207107e-09,10
5.54807798157097e-09,9
5.55111192912783e-09,2
5.55454615412332e-09,3
5.55473753844615e-09,5
5.55572772735177e-09,1
5.56315597654955e-09,11
5.56629149276307e-09,12
5.57469996375618e-09,6
5.57594548532754e-09,14
5.58055968869236e-09,5
5.58220805148946e-09,1
5.58433934641293e-09,26
5.59217348167035e-09,2
5.59342043358283e-09,25
5.5947454731893e-09,6
5.59871442598845e-09,3
5.60095990399821e-09,13
5.60302971661143e-09,23
5.60400205187557e-09,20
5.60775834907712e-09,24
5.61216391617514e-09,15
5.6199090197763e-09,7
5.62136233447365e-09,17
5.62298481863479e-09,11
5.62435258421875e-09,21
5.62467632990653e-09,18
5.62833140400092e-09,9
5.63049308050135e-09,8
5.63251845471057e-09,19
5.63367313346694e-09,16
5.63381559282799e-09,22
5.63421527085234e-09,27
5.63580547001227e-09,10
5.64170146878445e-09,4
5.64478889173844e-09,12
5.6494981030855e-09,28
5.64995062292067e-09,19
5.65265900707578e-09,30
5.6531976993313e-09,15
5.65375154131098e-09,21
5.65545155531087e-09,13
5.65976019936901e-09,37
5.66224781604516e-09,9
5.66367364469289e-09,34
5.66844022314414e-09,31
5.66960847726297e-09,11
5.67186943883427e-09,6
5.67492757682622e-09,7
5.67852672918872e-09,22
5.67889602246336e-09,4
5.68185417527858e-09,25
5.68212893443426e-09,12
5.68222442873495e-09,17
5.68651500780941e-09,2
5.68678151135131e-09,32
5.68852451686429e-09,10
5.6898591537585e-09,29
5.69096148355452e-09,8
5.69149389531418e-09,16
5.6915256548183e-09,14
5.69260175824266e-09,20
5.6970937447514e-09,35
5.70064610353663e-09,1
5.70165757340026e-09,27
5.70374029694492e-09,24
5.7042223035964e-09,3
5.70609231528814e-09,18
5.70705865721426e-09,33
5.7073320265921e-09,26
5.70832720709254e-09,39
5.70879532467413e-09,38
5.71315718048908e-09,36
5.7137755889632e-09,23
5.71637346551153e-09,5
5.71896982637495e-09,6
5.72035351585968e-09,18
5.72338655120267e-09,23
5.72372225209321e-09,1
5.72984771094632e-09,16
5.73077298936959e-09,12
5.73081549502335e-09,17
5.73262784590954e-09,25
5.73809914339149e-09,9
5.73939886292566e-09,21
5.7421207946133e-09,10
5.74379009807596e-09,24
5.74547890686377e-09,8
5.74839649864883e-09,4
5.74970727267627e-09,26
5.75633534884485e-09,22
5.75673132310889e-09,2
5.76376664897528e-09,20
5.76424910793141e-09,15
5.76918986406236e-09,19
5.77051026918552e-09,11
5.77354052729255e-09,13
5.77816813906283e-09,5
5.77986764185219e-09,14
5.78172005674647e-09,7
5.78354314273159e-09,3
5.78956803051189e-09,10
5.79096624017413e-09,1
5.7937419886938e-09,36
5.7948959204391e-09,19
5.79719351098498e-09,13
5.7978846154588e-09,42
5.79809994142883e-09,40
5.79835652253507e-09,12
5.80036855931209e-09,4
5.80061388241746e-09,17
5.80247265858208e-09,22
5.80293771088389e-09,34
5.80334968475382e-09,5
5.80476801420439e-09,21
5.80638515950228e-09,14
5.80812447894166e-09,11
5.80878832917402e-09,27
5.80901206868869e-09,29
5.81215499335802e-09,31
5.81223455501189e-09,16
5.8137026360072e-09,24
5.81487564170715e-09,20
5.81671989605157e-09,37
5.82005941427032e-09,6
5.82288860625537e-09,28
5.82441066304655e-09,23
5.83027788758155e-09,41
5.83144969303755e-09,32
5.83333886678043e-09,38
5.83563954349469e-09,2
5.83661723424417e-09,3
5.83838729564001e-09,9
5.84236397884335e-09,18
5.84337091430849e-09,7
5.84371881134934e-09,25
5.84465251249321e-09,39
5.84525665416444e-09,15
5.84716810188032e-09,8
5.84919529666534e-09,26
5.84921213690147e-09,33
5.85251441435941e-09,30
5.85415571787405e-09,35
5.86142299322398e-09,18
5.86214775458651e-09,9
5.86318129800204e-09,17
5.86413074873586e-09,2
5.87588654363834e-09,13
5.87735005396493e-09,19
5.88053150167567e-09,12
5.88103477818114e-09,8
5.88373839416138e-09,4
5.88403169828658e-09,20
5.8852019677776e-09,7
5.89694086317392e-09,14
5.89841306831659e-09,6
5.90413646462188e-09,3
5.90487977109414e-09,1
5.90497000455778e-09,16
5.91002948494053e-09,11
5.91141810920467e-09,10
5.92605146754971e-09,15
5.92746682773379e-09,5
5.92909865081752e-09,21
5.93563449775531e-09,3
5.93680664372842e-09,9
5.93760327654758e-09,5
5.94160829527225e-09,14
5.94277780606628e-09,4
5.94681149881871e-09,13
5.94924513662839e-09,10
5.94933447403534e-09,6
5.95315946021255e-09,2
5.9541171944135e-09,1
5.95717789597043e-09,15
5.96280817021463e-09,16
5.97041957445384e-09,11
5.97176606565047e-09,17
5.97753898443408e-09,12
5.99015905217673e-09,7
5.99373809047986e-09,8
6.00757987769214e-09,1
6.0189598335511e-09,3
6.04159554518734e-09,2
6.07213961100804e-09,4
6.08098359076388e-09,7
6.08746012739734e-09,6
6.09122700849613e-09,3
6.10607714223876e-09,5
6.10682025014097e-09,1
6.14148028983869e-09,2
