"/Vout (b0=0,b1=0,b2=0) X","/Vout (b0=0,b1=0,b2=0) Y","/Vout (b0=1,b1=0,b2=0) X","/Vout (b0=1,b1=0,b2=0) Y","/Vout (b0=0,b1=1,b2=0) X","/Vout (b0=0,b1=1,b2=0) Y","/Vout (b0=1,b1=1,b2=0) X","/Vout (b0=1,b1=1,b2=0) Y","/Vout (b0=0,b1=0,b2=1) X","/Vout (b0=0,b1=0,b2=1) Y","/Vout (b0=1,b1=0,b2=1) X","/Vout (b0=1,b1=0,b2=1) Y","/Vout (b0=0,b1=1,b2=1) X","/Vout (b0=0,b1=1,b2=1) Y","/Vout (b0=1,b1=1,b2=1) X","/Vout (b0=1,b1=1,b2=1) Y","/Vin (b0=0,b1=0,b2=0) X","/Vin (b0=0,b1=0,b2=0) Y"
0,1.099999848442812,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,0
9.264337782348748e-12,1.100001201710485,9.264337782348748e-12,1.100001200749858,9.264337782348748e-12,1.100001200749858,9.264337782348748e-12,1.100001199790593,9.264337782348748e-12,1.100001200749858,9.264337782348748e-12,1.100001199790593,9.264337782348748e-12,1.100001199790593,9.264337782348748e-12,1.100001198832167,9.264337782348748e-12,0.05095385780291812
1.792594715549534e-11,1.099999988706926,1.792594715549534e-11,1.099999988879818,1.792594715549534e-11,1.099999988879818,1.792594715549534e-11,1.099999989052072,1.792594715549534e-11,1.099999988879818,1.792594715549534e-11,1.099999989052072,1.792594715549534e-11,1.099999989052072,1.792594715549534e-11,1.099999989223943,1.792594715549534e-11,0.09859270935522436
3.524916590178853e-11,1.099999189961198,3.524916590178853e-11,1.099999190607603,3.524916590178853e-11,1.099999190607603,3.524916590178853e-11,1.099999191253041,3.524916590178853e-11,1.099999190607603,3.524916590178853e-11,1.099999191253041,3.524916590178853e-11,1.099999191253041,3.524916590178853e-11,1.099999191897947,3.524916590178853e-11,0.1938704124598369
5.851600885799156e-11,1.099998948346018,5.851606082433224e-11,1.099998948731454,5.851606082433473e-11,1.099998948731454,5.851611258209217e-11,1.099998949116892,5.851606082433933e-11,1.099998948731454,5.851611258208748e-11,1.099998949116892,5.85161125820905e-11,1.099998949116892,5.851616420192084e-11,1.099998949502597,5.851600885799156e-11,0.3218380487189536
6.85851133028102e-11,1.099994902448493,6.858667136638163e-11,1.099994905348757,6.858667136638166e-11,1.099994905348757,6.858822989848965e-11,1.099994908244356,6.858667136637814e-11,1.099994905348757,6.858822989848159e-11,1.099994908244356,6.858822989849454e-11,1.099994908244356,6.85897899366467e-11,1.099994911138487,6.85851133028102e-11,0.3772181231654561
8.87233221924475e-11,1.099978867470921,8.87278924504804e-11,1.099978878085161,8.872789245047553e-11,1.099978878085162,8.873246453128463e-11,1.099978888678842,8.872789245045574e-11,1.099978878085162,8.873246453126982e-11,1.099978888678843,8.873246453130262e-11,1.099978888678844,8.873704140609843e-11,1.099978899321222,8.87233221924475e-11,0.4879782720584612
1.030196136968567e-10,1.099950671733861,1.03027095996881e-10,1.099950748915018,1.030270959971073e-10,1.099950748915031,1.030345776050212e-10,1.099950825870168,1.030270959972039e-10,1.099950748915037,1.030345776051236e-10,1.099950825870175,1.030345776053845e-10,1.099950825870188,1.030420771407219e-10,1.099950902145176,1.030196136968567e-10,0.5666078753327122
1.117736218025378e-10,1.099906744229397,1.117839924490286e-10,1.099906788819143,1.117839924493971e-10,1.099906788819096,1.117943561852363e-10,1.099906833214368,1.117839924495657e-10,1.099906788819072,1.117943561854087e-10,1.099906833214344,1.117943561858068e-10,1.099906833214296,1.118047484878387e-10,1.099906877861955,1.117736218025378e-10,0.6147549199139579
1.205173477432952e-10,1.099867991894032,1.20530567598698e-10,1.099868774956942,1.205305675989589e-10,1.099868774958099,1.205437767988807e-10,1.099869547394548,1.205305675990752e-10,1.099868774958678,1.205437767990002e-10,1.09986954739512,1.205437767992867e-10,1.099869547396262,1.205570100437492e-10,1.099870310990573,1.205173477432952e-10,0.6628454125881234
1.261325490842554e-10,1.100314816023972,1.266193521771377e-10,1.100407424902209,1.266194540203089e-10,1.100407447407152,1.269790991226726e-10,1.100478772353019,1.266195050545141e-10,1.10040745868476,1.269791345838257e-10,1.100478780613566,1.269792053418694e-10,1.100478797096487,1.272807338639168e-10,1.100531861392152,1.261325490842554e-10,0.6937290199634044
1.293544689169076e-10,1.101424135023475,1.303895518926665e-10,1.10189838375027,1.303898324547829e-10,1.101898546060531,1.311779729401883e-10,1.10220992376175,1.303899730627686e-10,1.101898627408063,1.311780725293624e-10,1.102209978165513,1.311782712168253e-10,1.102210086699742,1.318747291968689e-10,1.102433912087065,1.293544689169076e-10,0.711449579042992
1.32442401112225e-10,1.104043345868533,1.355451391081569e-10,1.107216669920238,1.355453733569635e-10,1.107216720507074,1.363831247335932e-10,1.107129350676392,1.355454907548142e-10,1.107216745859033,1.363832167067857e-10,1.10712933636287,1.36383400209131e-10,1.107129307770925,1.371787802906344e-10,1.1069086799339,1.32442401112225e-10,0.7284332061172376
1.358876619428852e-10,1.109974781794317,1.391767327058426e-10,1.11358759346179,1.391770710954505e-10,1.113586890154172,1.403864264400308e-10,1.11233333705388,1.391772406897429e-10,1.113586537627566,1.403865759018617e-10,1.112333023636137,1.403868741177142e-10,1.11233239844181,1.416020103095745e-10,1.111330255034383,1.358876619428852e-10,0.7473821406858688
1.388973727403203e-10,1.118393333621042,1.438554392700537e-10,1.123355226365896,1.438568231702992e-10,1.12335204524623,1.461133235508722e-10,1.119731994021744,1.43857517122915e-10,1.123350450176908,1.461132426599491e-10,1.119730282123734,1.46113081722592e-10,1.119726869020564,1.475705828925379e-10,1.116869025964955,1.388973727403203e-10,0.7639355500717617
1.428958711270431e-10,1.130926878318224,1.479795883644902e-10,1.111068829893724,1.479795423134403e-10,1.11109367313317,1.501749905749213e-10,1.112329203703003,1.479795202511496e-10,1.111106089500684,1.501746755578346e-10,1.112335230481337,1.501740485722372e-10,1.11234721840273,1.518994151138091e-10,1.112598714749704,1.428958711270431e-10,0.7859272911987371
1.44439455449549e-10,1.127609137596864,1.502555438992994e-10,1.06839072751086,1.502569763753009e-10,1.068439548352768,1.530033255750479e-10,1.07923212236153,1.502576964237193e-10,1.068463942715844,1.530039466110615e-10,1.079243624208379,1.530051857883902e-10,1.079266510933867,1.553175674974607e-10,1.085861413997991,1.44439455449549e-10,0.7944170049725193
1.457953859901487e-10,1.103504353173002,1.527666470300246e-10,0.9580773853997359,1.527690122816603e-10,0.9581747020015791,1.561253347030221e-10,0.981384955518087,1.527702000918895e-10,0.9582233810602506,1.56126495974373e-10,0.981410907616763,1.561288118903279e-10,0.9814625654851098,1.590704884225124e-10,0.9956226350203744,1.457953859901487e-10,0.8018746229458177
1.474121027617549e-10,1.027936206789559,1.548159331910431e-10,0.8191871194504828,1.548190269828947e-10,0.8193363748687178,1.585600724223476e-10,0.8564155950528566,1.54820580918058e-10,0.8194110374647329,1.585616828767478e-10,0.8564528785512032,1.58564894203939e-10,0.8565270712847286,1.618880775033479e-10,0.8771425033150829,1.474121027617549e-10,0.8107665651896522
1.488247676469331e-10,0.9193129558036428,1.575919368701318e-10,0.5778781660814454,1.575971392119581e-10,0.5779887823655379,1.623008006754472e-10,0.5946175798842107,1.575997510437054e-10,0.5780441183087281,1.623035626395271e-10,0.5946379813429826,1.623090707470423e-10,0.5946783459753477,1.657157731885745e-10,0.6531139586479555,1.488247676469331e-10,0.8185362220581323
