Pavg_tt_mc X,
3.08101667485493e-05,3
3.09486798126221e-05,5
3.09550211376602e-05,2
3.09853816806888e-05,1
3.10036965437693e-05,4
3.10932243959845e-05,6
3.11011864630076e-05,5
3.11374937475616e-05,3
3.11452027633866e-05,4
3.11474517391283e-05,7
3.1169211032672e-05,1
3.11728007521164e-05,2
3.1304345276706e-05,10
3.13129128499075e-05,1
3.13200483676813e-05,2
3.13331243025113e-05,4
3.13484867907949e-05,8
3.13679928261469e-05,9
3.13687909499377e-05,5
3.13844785861773e-05,12
3.13984756999294e-05,6
3.14091217740995e-05,3
3.14320562933547e-05,7
3.14399083314249e-05,11
3.14419267348039e-05,20
3.14682955576824e-05,16
3.1471205135721e-05,12
3.14754572400738e-05,11
3.14970413435935e-05,17
3.15070913819838e-05,3
3.15125805736597e-05,15
3.1518255792056e-05,18
3.15383822613706e-05,14
3.15409601220007e-05,10
3.15460786150569e-05,13
3.15536284753961e-05,5
3.15653458861304e-05,1
3.15805314015391e-05,6
3.15896311755169e-05,4
3.15941797430343e-05,2
3.16080222279004e-05,7
3.16249284023581e-05,19
3.16361588259225e-05,8
3.16363351086448e-05,9
3.16528354619142e-05,13
3.16555011909987e-05,3
3.16564851902275e-05,22
3.16650312638782e-05,7
3.16671094217995e-05,6
3.16726179788258e-05,10
3.16766697543471e-05,16
3.1677646371194e-05,9
3.16943067177962e-05,5
3.17005295056882e-05,8
3.17026662095398e-05,19
3.17074219215056e-05,18
3.17211746288167e-05,20
3.17322988236958e-05,17
3.17753624875115e-05,4
3.17761669498914e-05,21
3.1796876127581e-05,12
3.18016082877268e-05,11
3.18153148866144e-05,14
3.18275405877573e-05,1
3.18446236624521e-05,2
3.1851409584854e-05,15
3.1862305188995e-05,28
3.18629513674011e-05,30
3.18749737673376e-05,15
3.18764896536674e-05,19
3.18778727069929e-05,9
3.18897414508808e-05,21
3.18904152054172e-05,12
3.18915654112874e-05,5
3.18920220330277e-05,25
3.1904419944483e-05,27
3.1914895611086e-05,26
3.1915993216683e-05,32
3.19220718704547e-05,31
3.19302918208645e-05,6
3.19461229400053e-05,24
3.1950782090828e-05,18
3.195303203894e-05,14
3.1954476265529e-05,2
3.199708299818e-05,22
3.1997689224959e-05,11
3.19978175207914e-05,17
3.2010111953764e-05,16
3.20122467373903e-05,13
3.20216265925831e-05,8
3.20234022561599e-05,29
3.20292775851394e-05,4
3.2031530905536e-05,10
3.20467840058837e-05,20
3.20485982062255e-05,3
3.20579058414524e-05,7
3.20666497465202e-05,1
3.20682262398557e-05,23
3.20776622116521e-05,23
3.20780937505083e-05,27
3.20809283128185e-05,37
3.20828746276325e-05,1
3.20960095823831e-05,7
3.21017261571382e-05,44
3.21017388927553e-05,3
3.21051632604499e-05,30
3.2106751388955e-05,31
3.21071190295477e-05,43
3.21103059747603e-05,41
3.21114557901328e-05,42
3.21274528996345e-05,29
3.21311749639857e-05,6
3.21346679084939e-05,15
3.21354050497021e-05,17
3.21474058634088e-05,10
3.2148751876026e-05,24
3.21569318927321e-05,11
3.21580981448603e-05,4
3.21600691591275e-05,25
3.21625626256057e-05,9
3.21664225137398e-05,16
3.21671934598357e-05,20
3.21767170957433e-05,22
3.21781659493449e-05,13
3.21822009646242e-05,40
3.21860967488372e-05,18
3.21863231387215e-05,38
3.21892768480079e-05,19
3.21918999191434e-05,35
3.22050083371111e-05,14
3.22148632660614e-05,12
3.22248487895045e-05,33
3.22344806451731e-05,39
3.22351247129932e-05,8
3.2238437089873e-05,36
3.22405547801438e-05,5
3.22557095336855e-05,34
3.22557229926468e-05,32
3.22675413755245e-05,21
3.22745636909874e-05,2
3.22795497800723e-05,28
3.22811442727369e-05,26
3.22912125104498e-05,13
3.22994629543775e-05,25
3.23003443980955e-05,29
3.23157106212676e-05,15
3.23159588998738e-05,22
3.23208116239571e-05,11
3.23232813160351e-05,27
3.23277308423725e-05,24
3.2335404945284e-05,6
3.23359662575247e-05,14
3.23363034980622e-05,20
3.2348035852143e-05,8
3.23515724456708e-05,3
3.23637788051197e-05,21
3.23698389755213e-05,5
3.2371818328041e-05,23
3.23730558719652e-05,10
3.23793170226734e-05,19
3.23835147799897e-05,17
3.23863945261526e-05,26
3.23879875892327e-05,16
3.23964805210915e-05,4
3.23967996491955e-05,12
3.23983857448262e-05,18
3.24206006458212e-05,1
3.2428891905656e-05,28
3.24316767561762e-05,2
3.24330707778896e-05,9
3.24469511553963e-05,7
3.24956716987876e-05,13
3.25029604038812e-05,10
3.25039081220945e-05,5
3.25149729749191e-05,12
3.25154258811614e-05,8
3.2517838348736e-05,14
3.25232466654594e-05,9
3.25240153445822e-05,3
3.25276062568903e-05,15
3.2544574098408e-05,16
3.25611266662523e-05,7
3.25620075711845e-05,2
3.25792841410821e-05,6
3.26045089399853e-05,1
3.26309836054087e-05,19
3.26346632739637e-05,17
3.26555499327493e-05,18
3.26606058422052e-05,4
3.26766021887074e-05,11
3.2720283674649e-05,5
3.27314949744463e-05,4
3.2734616417353e-05,2
3.27621435423081e-05,1
3.28247029845025e-05,3
3.28256096148141e-05,8
3.28297965906963e-05,6
3.28361523796059e-05,9
3.29002922553352e-05,7
3.29118417470416e-05,10
